랭킹,제목,가수,좋아요,좋아요차이
1,넘쳐흘러,엠씨더맥스,74737,72846
2,벌써 12시,청하,68788,66897
3,띵 (Prod. By 기리보이),"Jvcki Wai,영비 (Young B),Osshun Gum,한요한",41680,39789
4,180도,벤,116968,115077
5,신용재,하은 (라코스테남),79307,77416
6,SOLO,제니 (JENNIE),158599,156708
7,Love Shot,EXO,119914,118023
8,아낙네,MINO (송민호),140295,138404
9,MILLIONS,WINNER,99025,97134
10,너를 만나,폴킴,158229,156338
11,너도 그냥 날 놓아주면 돼,윤건,37734,35843
12,Tempo,EXO,167404,165513
13,해야 (Sunrise),여자친구 (GFRIEND),23339,21448
14,YES or YES,TWICE (트와이스),114897,113006
15,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,233298,231407
16,내 생에 아름다운,케이윌,89505,87614
17,아름답고도 아프구나,비투비,120222,118331
18,%%(응응),Apink (에이핑크),23223,21332
19,IDOL,방탄소년단,213252,211361
20,흔한 이별,허각,36589,34698
21,첫눈에,헤이즈 (Heize),49500,47609
22,가을 타나 봐,바이브,112228,110337
23,이 마음,펀치 (Punch),1891,0
24,이별하러 가는 길,임한별,70282,68391
25,삐삐,아이유,203689,201798
26,Way Back Home,숀 (SHAUN),249375,247484
27,고백,양다일,97600,95709
28,봄바람,Wanna One (워너원),125050,123159
29,"thank u, next",Ariana Grande,81414,79523
30,열애중,벤,148178,146287
31,트라우마 (Trauma),EXO,66598,64707
32,너 없인 안 된다,비투비,150120,148229
33,FAKE LOVE,방탄소년단,268705,266814
34,사계 (하루살이),엠씨더맥스,20214,18323
35,Wait,EXO,67429,65538
36,그리워하다,비투비,218807,216916
37,하루도 그대를 사랑하지 않은 적이 없었다,임창정,135937,134046
38,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1,Kid Milli,루피(Loopy)",120153,118262
39,Gravity,EXO,95753,93862
40,닿은 순간 (Ooh La La La),EXO,93134,91243
41,봄날,방탄소년단,377408,375517
42,24/7,EXO,91771,89880
43,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),78973,77082
44,Sign,EXO,90005,88114
45,We all lie,하진,35420,33529
46,I`m Fine,방탄소년단,157121,155230
47,"길 (Song by 아이유, 헨리, 조현아, 양다일)",god,20707,18816
48,여기 있을게 (Smile On My Face),EXO,87014,85123
49,습관 (Bad Habits),숀 (SHAUN),17233,15342
50,오아시스 (Oasis),EXO,86550,84659
51,후폭풍 (Bad Dream),EXO,83491,81600
52,Damage,EXO,83568,81677
53,지나오다,닐로 (Nilo),192016,190125
54,가끔 (With You),EXO,84764,82873
55,Euphoria,방탄소년단,150762,148871
56,알았다면,장덕철,20505,18614
57,너는 어땠을까,노을,37158,35267
58,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,202812,200921
59,DNA,방탄소년단,334764,332873
60,행복,오반 (OVAN),42831,40940
61,Universe,EXO,185712,183821
62,Bohemian Rhapsody (2011 Remaster),Queen,88275,86384
63,Answer : Love Myself,방탄소년단,130590,128699
64,미안해,양다일,142036,140145
65,flex (Prod. By 기리보이),"기리보이,Kid Milli,NO:EL,스윙스",106661,104770
66,헤어지는 중,펀치 (Punch),98034,96143
67,에너제틱 (Energetic),Wanna One (워너원),286609,284718
68,사이렌 (Siren),선미,110004,108113
69,Dance The Night Away,TWICE (트와이스),138574,136683
70,IndiGO,"저스디스 (JUSTHIS),Kid Milli,NO:EL,영비 (Young B)",89420,87529
71,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,191468,189577
72,밤편지,아이유,303802,301911
73,비,폴킴,183042,181151
74,우리 그만하자,로이킴,121574,119683
75,이별길 (GOODBYE ROAD),iKON,84258,82367
76,Beautiful,Wanna One (워너원),235129,233238
77,그때가 좋았어,케이시 (Kassy),14521,12630
78,All Night (전화해),아스트로 (ASTRO),8458,6567
79,YA,이민혁 (HUTA),15025,13134
80,BOOMERANG (부메랑),Wanna One (워너원),144056,142165
81,시간이 들겠지 (Feat. Colde),로꼬,96437,94546
82,가을 안부,먼데이 키즈 (Monday Kiz),126065,124174
83,겨울이라 이런 거면 좋겠다,먼데이 키즈 (Monday Kiz),8669,6778
84,Wind flower,마마무(Mamamoo),48845,46954
85,켜줘 (Light),Wanna One (워너원),133352,131461
86,Epiphany,방탄소년단,119537,117646
87,사랑을 했다 (LOVE SCENARIO),iKON,278941,277050
88,그때 헤어지면 돼,로이킴,191470,189579
89,Anpanman,방탄소년단,148976,147085
90,동화 (feat. 아이유),김동률,54943,53052
91,불꽃놀이 (Flowerbomb),Wanna One (워너원),72344,70453
92,Snowman (삼성 갤럭시 노트 9 광고 삽입곡),Sia,74301,72410
93,꿈처럼 내린,다비치,37717,35826
94,그 남자를 떠나,god,13678,11787
95,술래,Wanna One (워너원),69481,67590
96,RBB (Really Bad Boy),Red Velvet (레드벨벳),55165,53274
97,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,81344,79453
98,집,Wanna One (워너원),71803,69912
99,Trivia 轉 : Seesaw,방탄소년단,113991,112100
100,I`M OK,iKON,23538,21647
계,,,11265780,11076680